result_type,model,surface,benchmark_or_pack,domain_or_task,runs,passed,pass_rate,available,wall_duration_ms,failure_class_or_modes,source_file,notes
operation_domain,deepseek-coder-v2:latest,ollama_http,operations_first_pack_2026-06-07,market_forecasting_backtest,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,deepseek-coder-v2:latest,ollama_http,operations_first_pack_2026-06-07,memory_context_management,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,deepseek-coder-v2:latest,ollama_http,operations_first_pack_2026-06-07,model_to_model_orchestration,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,deepseek-coder-v2:latest,ollama_http,operations_first_pack_2026-06-07,multi_agent_decomposition,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,deepseek-coder-v2:latest,ollama_http,operations_first_pack_2026-06-07,public_content_law,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,deepseek-coder-v2:latest,ollama_http,operations_first_pack_2026-06-07,regex_pattern_creation,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,deepseek-coder-v2:latest,ollama_http,operations_first_pack_2026-06-07,role_based_task_execution,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_overall,deepseek-r1:8b,ollama_http,operations_first_pack_2026-06-07,all_operation_domains,13,0,0.0,,119957.3,"{""empty_content"": 3, ""unavailable_or_timeout"": 10}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Strict one-trial operation fixture matrix; route only where validators pass.
operation_domain,deepseek-r1:8b,ollama_http,operations_first_pack_2026-06-07,compliance_policy,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,deepseek-r1:8b,ollama_http,operations_first_pack_2026-06-07,computer_control_app_use,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
